"TaxId","Project_Id","Project_Acc","Sort_By_ProjectType","Sort_By_DataType","Sort_By_Organism","Project_Subtype","Project_Target_Scope","Registration_Date","Project_Name","Project_Title","Project_Description","Organism_Name","Organism_Strain","Organism_Label","Sequencing_Status","Submitter_Organization"
1765,273066,"PRJNA273066",254040,263611,209289,,"Monoisolate","2016/05/26 00:00","Mycobacterium tuberculosis variant bovis strain:SP38","Mycobacterium tuberculosis variant bovis strain:SP38 Genome sequencing","The aim of this study is to sequence and analyze the whole genome sequence of a Brazilian pathogenic isolate of Mycobacterium bovis. This strain, named SP38, was isolated from the lungs of an infected bovine in 2010. This animal was from the State of São Paulo, Brazil.","Mycobacterium tuberculosis variant bovis","SP38",,"Complete","University of Sao Paulo"
83332,224,"PRJNA224",387109,387126,207612,,"Monoisolate","2003/05/09 00:00","Mycobacterium tuberculosis H37Rv","Causative agent of tuberculosis.","  Mycobacterium tuberculosis strain H37RV.   This strain has been derived from the original human-lung H37 isolate in 1934, and has been used extensively worldwide in biomedical research. Unlike some clinical isolates, it retains full virulence in animal models of tuberculosis and is susceptible to drugs and receptive to genetic manipulation.","Mycobacterium tuberculosis H37Rv","H37Rv",,"Complete","Sanger Institute"
1763,311193,"PRJNA311193",220606,233303,206131,,"Multispecies","2018/08/13 00:00","Mycobacterium","Mycobacterium Genome sequencing","Comparative genome analysis of clinical isolates of Mycobacterium spp. representative of Colombia","Mycobacterium",,,"Chromosome(s)","Alianza científico - tecnológica Nucleosensor-TB"
0,377261,"PRJNA377261",163872,183970,362642,,"Multispecies","2017/02/28 00:00","Mycobacterium species","Multiple genomes created from NGS for the genus Mycobacterium Genome sequencing and assembly","The goal of this study is to develop a database of the genomes of the genus Mycobacterium, for the purpose of comparing new samples of Mycobacterium to determine if the sample is a new species.",,,,"Scaffolds","ATCC"
115862,326075,"PRJNA326075",207564,221979,209344,,"Monoisolate","2017/01/10 00:00","Mycobacterium tuberculosis variant caprae strain:Allgaeu","Mycobacterium tuberculosis variant caprae strain:Allgaeu Genome sequencing","Tracking spread of Mycobacterium caprae infection in cattle","Mycobacterium tuberculosis variant caprae","Allgaeu",,"Chromosome(s)","Ludwig-Maximilians-University"
0,442753,"PRJNA442753",108115,144005,351086,,"Multispecies","2018/03/21 00:00",,"Mycobacterium pinnipedii isolated from sea lion","WGS of Mycobacterium pinnipedii isolated from sea lion",,,,"Scaffolds","Universidade de Sao Paulo"
1763,270004,"PRJNA270004",256746,51420,206135,,"Multispecies","2016/02/02 00:00","Mycobacterium","The methylome of Mycobacterium tuberculosis complex (MTBC)","The methylome of twelve Mycobacterium tuberculosis complex (MTBC) strains were determined using Pacbio single-molecule real-time sequencing technology.","Mycobacterium",,,"Complete","Beijing Institute of Genomics,Chinese Academy of Sciences"
33894,240158,"PRJNA240158",282974,289585,209225,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis variant africanum strain:MAL010084","TB-ARC - Mali","TB-ARC - Mali","Mycobacterium tuberculosis variant africanum","MAL010084","Unknown","Scaffolds","Broad Institute"
1765,285833,"PRJNA285833",242704,253536,209285,,"Monoisolate","2015/07/17 00:00","Mycobacterium tuberculosis variant bovis strain:1595 | isolate:1595","Mycobacterium tuberculosis variant bovis strain:1595 | isolate:1595 Genome sequencing","Whole genome sequence of Mycobacterium bovis isolated from korea","Mycobacterium tuberculosis variant bovis",1595,,"Complete","Animal and Plant Quarantine Agency"
1765,306822,"PRJNA306822",224117,236622,209282,,"Monoisolate","2016/01/04 00:00","Mycobacterium tuberculosis variant bovis strain:BCG-1 (Russia)","Mycobacterium bovis BCG-1 (Russia) comparative study","The comparative analysis based on whole genome sequencing of the first and the sixth passages of Russian substrain M. bovis BCG-1","Mycobacterium tuberculosis variant bovis","BCG-1 (Russia)",368,"Complete","Microgen, Federal State Scientific-Industrial Company for Immunobiological Medicines of the Ministry of Health and Social Development of the Russian Federation"
83331,223,"PRJNA223",387110,387127,207438,,"Monoisolate","2003/02/25 00:00","Mycobacterium tuberculosis CDC1551","Causative agent of tuberculosis.","  Mycobacterium tuberculosis strain CDC1551.   This strain, also nicknamed ""Oshkosh"", is a recent clinical isolate from a clothing factory worker from the Kentucky/Tennessee, USA, region. It is highly contagious, infecting approximately 80% of the patient's social contacts. However, this strain has not caused epidemics in man and is sensitive to a wide range of drugs. It is also highly virulent in a mouse lung model, producing several orders of magnitude more bacteria than the H37Rv strain when inoculated.","Mycobacterium tuberculosis CDC1551","CDC1551",,"Complete","TIGR"
33894,240161,"PRJNA240161",282971,289582,209224,,"Monoisolate","2014/04/29 00:00","Mycobacterium tuberculosis variant africanum strain:MAL020148","TB-ARC - Mali","TB-ARC - Mali","Mycobacterium tuberculosis variant africanum","MAL020148","Unknown","Scaffolds","Broad Institute"
0,439165,"PRJNA439165",111621,145287,351163,,"Multispecies","2018/03/20 00:00",,"Mycobacterium pinnipedii isolated from sea lion","Characterization of genomic information of Mycobacterium pinnipedii isolated from sea lion",,,,"Scaffolds","Universidade de Sao Paulo"
410289,18059,"PRJEA18059",384506,385646,209334,,"Monoisolate","2007/01/08 00:00","Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2","The causal agent of bovine tuberculosis","  Mycobacterium bovis strain BCG.   This strain was used to produce BCG (Bacille de Calmette et Guan) vaccine, a well-known tuberculosis vaccine, originally developed by Calmette and Guan in the 1920's by multiple subculturings that resulted in attenuation (weakened virulence) of the strain.      Mycobacterium bovis BCG str. Pasteur 1173P2.  This organism was used to produce the antigen which was utilized for vaccine development.","Mycobacterium tuberculosis variant bovis BCG str. Pasteur 1173P2","BCG Pasteur 1173P2",,"Complete","Mycobacterium bovis sequencing teams"
1765,428763,"PRJNA428763",119589,151950,209270,,"Multiisolate","2018/03/07 00:00","Mycobacterium tuberculosis variant bovis","Mycobacterium tuberculosis variant bovis Genome sequencing and assembly","Mycobacterium bovis isolates of Canadian origin","Mycobacterium tuberculosis variant bovis",,,"Complete","Canadian Food Inspection Agency"
1765,494982,"PRJNA494982",65273,56725,209265,,"Multiisolate","2019/05/06 00:00","Mycobacterium tuberculosis variant bovis","Mycobacterium tuberculosis variant bovis Genome sequencing and assembly","Mycobacterium bovis bacillus Calmette-Guérin (BCG) is the only vaccine available against tuberculosis. This study reports the complete genome sequence of BCG Danish 1331 (07/270), one of the WHO reference reagents for BCG vaccines. Unexpected findings, including the presence a of DU1-like duplication in BCG Danish 1331 (07/270) and the absence of a DU1 in the Pasteur control strains, underline the importance of the genomic characterization of our BCG vaccine strains.","Mycobacterium tuberculosis variant bovis",,,"Complete","Academia Sinica"
561275,31211,"PRJDA31211",382414,384205,209340,,"Monoisolate","2009/03/09 00:00","Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172","This strain is being sequenced for comparative genome analysis","  Mycobacterium bovis BCG str. Tokyo 172.  This strain is being sequenced for comparative genome analysis.","Mycobacterium tuberculosis variant bovis BCG str. Tokyo 172","Tokyo 172",,"Complete","Japan BCG Laboratory"
