RDcap_Spain1,29988,34322,4334,Rv0026-Rv0032
RDcap_Spain2,136718,138163,1445,Rv0112-Rv0114
RDcap_Spain3,188885,190193,1308,Rv0160c
RDbovis(d)_buff1,484396,485448,1052,Rv0404
RDbovis(d)_sigK,533232,534213,981,Rv0444c-Rv0445c
RDbovis(d)_1160_1,669913,683322,13409,Rv0576-Rv0585c
RDbovis(a)_kdp,1151879,1154485,2606,Rv1028A-Rv1030
RDcap_Asia1,1376215,1376864,649,Rv1232c-Rv1233c
RDbovis(c)_Kruger,1523189,1547066,23877,Rv1355c-Rv1374c
RDbovis(c)_wbbl2,1720074,1720719,645,Rv1525
Rdoryx_wag22,1987198,1998793,11595,Rv1755c-Rv1765c
RDcap_Asia2,1996618,1999708,3090,Rv1764-Rv1765A
Rdoryx_1,2038717,2048279,9562,Rv1799-Rv1806
RDbovis(d)_0173,2180594,2187401,6807,Rv1928c-Rv1936
RDcap_Spain4,2195377,2198581,3204,Rv1944c-Rv1947
RDcap_Asia3,2359037,2362917,3880,Rv2100-Rv2101
RD5oryx*,2629041,2639541,10500,Rv2350c-Rv2356c
RDcap_Spain5,3119192,3120524,1332,Rv2813-Rv2814c
RDbovis(c)_virS,3447448,3451242,3794,Rv3082c-Rv3085
RD12HUP,3477736,3482411,4675,Rv3109-Rv3115
RD12oryx*,3479670,3491252,11582,Rv3111-Rv3125c
RDoryx_4*,3549075,3555366,6291,Rv3180c-Rv3189
RDbovis(d)_1160_2,3823567,3825361,1794,Rv3403c-Rv3406
RDbovis(c)_fadD18,3945597,3951329,5732,Rv3513c-Rv3515c
RDpin,3967680,3968975,1295,Rv3530c-Rv3531c
RDbovis(d)_buff2,4142144,4143784,1640,Rv3699-Rv3700c
RDcap_Spain6,4194728,4196291,1563,Rv3743c-Rv3746c
RDcap_Spain7,4366792,4376362,9570,Rv3884c-Rv3894c
RDbovis(a)_?pan,4370865,4375133,4268,Rv3887c-Rv3892c
